Volatility,MAE,RMSE,MAPE
HV5,72.13640406485173,126.23422713847185,225.44795302579752
HV20,76.25451820452668,117.69022333480457,230.27516769832218
HV60,78.78047775934259,112.50377330936308,222.5179703063244
HV100,81.77452190158986,112.45680714955147,226.92816221096047
GARCH,79.17486567761222,112.05906382004832,233.9405209650789
EGARCH,74.0008042487014,100.21121108188107,214.75424078156001
