Moneyness,Model,N,MAE,RMSE,MAPE
ITM,MLP,124649,70.90471,112.019806,9.313764
ATM,MLP,287498,50.870613,78.05138,30.229832
OTM,MLP,271372,25.489119,42.42236,98.56302
