Moneyness,Volatility,N,MAE,RMSE,MAPE
ITM,HV5,124724,65.39194711272097,112.9200764550869,9.07387428496505
ITM,HV20,124724,67.90561175741564,112.38559592606089,9.537296845700004
ITM,HV60,124724,73.93948085414587,116.85071666319195,10.279997686489446
ITM,HV100,124724,77.962027754303,118.82755116498411,10.767946115257644
ITM,GARCH,124724,67.59137825315857,107.49094568079582,9.495158551534933
ITM,EGARCH,124724,65.25937858615065,103.4720578535585,9.072405409549084
ATM,HV5,287285,59.738302575366916,102.06309165429643,42.74494826440142
ATM,HV20,287285,65.30291785357757,98.81462707164339,47.39155614346684
ATM,HV60,287285,70.29608068778509,97.86833682646743,52.55942455167633
ATM,HV100,287285,74.40857800627538,99.71172928121327,54.79482032447095
ATM,GARCH,287285,69.4540738151487,94.49944122440034,53.16326864818484
ATM,EGARCH,287285,65.47747421264343,85.36807879365495,51.2912779073101
OTM,HV5,271509,88.51557009771484,152.63923687783208,518.1510475663648
OTM,HV20,271509,91.82828410676449,137.12281164720943,525.0573123007342
OTM,HV60,271509,90.11444884113402,124.5573782708834,499.78538368535783
OTM,HV100,271509,91.44078336497819,122.03009300824817,508.3535937567416
OTM,GARCH,271509,94.91742898584008,130.08523078382842,528.2645757268464
OTM,EGARCH,271509,87.1700795078342,112.73135996387865,482.1741192255003
