Volatility,MAE,RMSE,MAPE
HV5,72.20093309717045,126.33190889797918,225.4430536315835
HV20,76.31432364025594,117.80309191523705,230.2239280076296
HV60,78.83321469346862,112.60549503525985,222.49293574244695
HV100,81.82257077765674,112.56351659190106,226.92500732313442
GARCH,79.2288087274196,112.17664039358942,233.91610825142243
EGARCH,74.05447703067202,100.32322031826368,214.74397807036328
