Model_1,Model_2,N_days,Mean_SE_1,Mean_SE_2,Mean_Diff_d_bar,NW_lag,DM_HLN_stat,p_value,Lower_Loss,Signif
ANN,Bach,525,3938.052808478662,4773.491800771802,-835.438992293141,8,-1.0456123508514612,0.2962221374591927,ANN,
ANN,BS,525,3938.052808478662,5188.58754975067,-1250.5347412720091,8,-1.3012342284953176,0.19375014075427388,ANN,
ANN,MCJD,525,3938.052808478662,9436.443246044504,-5498.390437565842,8,-4.339414256087477,1.714742977010353e-05,ANN,***
Bach,BS,525,4773.491800771802,5188.58754975067,-415.0957489788681,8,-2.4419600814628724,0.01493733742066472,Bach,**
Bach,MCJD,525,4773.491800771802,9436.443246044504,-4662.951445272702,8,-7.955246453449706,1.1102230246251565e-14,Bach,***
BS,MCJD,525,5188.58754975067,9436.443246044504,-4247.855696293833,8,-8.813563786310969,0.0,BS,***
