Moneyness,Model,N,MAE,RMSE,MAPE
ITM,KAN,124649,80.23078,120.00057,10.400189
ATM,KAN,287498,42.14444,65.86853,23.08805
OTM,KAN,271372,23.796865,40.091095,88.16865
