Volatility,MAE,RMSE,MAPE
HV5,72.14312558630596,126.23265602388564,225.46185575889345
HV20,76.26214107226423,117.70511558736789,230.2465083924921
HV60,78.78637695230066,112.52286068937812,222.49167006903835
HV100,81.77782549123347,112.4715799550001,226.90624924049504
GARCH,79.18223011408479,112.07108474084743,233.92086041184342
EGARCH,74.00769648722681,100.22512068204217,214.7358407570882
