Moneyness,Model,N,MAE,RMSE,MAPE
ITM,MoE,124649,66.24699,106.17228,8.689325
ATM,MoE,287498,42.407745,65.73541,25.779104
OTM,MoE,271372,24.06433,39.81084,99.18726
