Moneyness,Volatility,N,MAE,RMSE,MAPE
ITM,HV5,124724,65.19069812705537,112.737848974103,9.04622199455879
ITM,HV20,124724,67.6926146180033,112.16201000278598,9.507402241949446
ITM,HV60,124724,73.74031294311708,116.6656280938635,10.252830395401395
ITM,HV100,124724,77.79408057963174,118.64135004264327,10.744965183274074
ITM,GARCH,124724,67.39215687631356,107.2854117404338,9.468215638444216
ITM,EGARCH,124724,65.05815480519463,103.27923410432172,9.045230903647024
ATM,HV5,287285,59.659643902194034,101.93446364786391,42.72953691517927
ATM,HV20,287285,65.2343529562094,98.66391539153507,47.38452730933561
ATM,HV60,287285,70.24278969684565,97.73293903039335,52.55774052643768
ATM,HV100,287285,74.35873704555817,99.57609753762186,54.79595852775924
ATM,GARCH,287285,69.40097561191259,94.34996709071865,53.162204977895954
ATM,EGARCH,287285,65.42547338931422,85.22254588458094,51.2900809879301
OTM,HV5,271509,88.50078715845875,152.53334470273992,518.1808575227319
OTM,HV20,271509,91.82273922486004,137.0453876042408,525.171154047867
OTM,HV60,271509,90.10490463690624,124.48395716410853,499.81845593933383
OTM,HV100,271509,91.42635587430124,121.94393938670116,508.30842548887574
OTM,GARCH,271509,94.90547885790266,129.98240605573005,528.303152537185
OTM,EGARCH,271509,87.15849515620457,112.63964549565917,482.18476754135054
