Volatility,MAE,RMSE,MAPE
HV5,72.12527783064475,126.20769629207656,225.44337157158415
HV20,76.24443666274038,117.67525700003634,230.26073933630084
HV60,78.77068223900089,112.48873852690414,222.50040768349373
HV100,81.76524559034704,112.44005874085377,226.90335043001815
GARCH,79.16539185820993,112.04042532017525,233.92606840870712
EGARCH,73.99130130287449,100.19395562451267,214.7427461255278
